Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Yan Xiaonan,680 (87%),65 (8%),33 (4%),8 (47%),9 (53%),0 (0%),Active,"Liaoning, China",China Top Team Beijing,Striker,34,65.00,115.00,"Nov. 25, 2017",63.00,37.00,Women's Strawweight Division,women
Petr Yan,806 (72%),122 (11%),187 (17%),7 (44%),8 (50%),1 (6%),Active,"Krasnoyarsk Krai, Russia",Team Yan,Boxer,31,67.50,135.00,"Jun. 23, 2018",67.00,38.00,Bantamweight Division,man
Mohammad Yahya,41 (95%),2 (5%),0 (0%),7 (54%),4 (31%),2 (15%),Active,"London, United Kingdom",,MMA,29,69.00,156.00,"Oct. 21, 2023",,,Featherweight Division,man
Rani Yahya,314 (74%),28 (7%),83 (20%),0 (0%),7 (25%),21 (75%),Active,"Brasilia, Brazil",Constrictor Team Brazilia,MMA,38,66.00,136.00,"Jan. 23, 2011",67.00,37.50,Bantamweight Division,man
Sean Woodson,492 (92%),38 (7%),5 (1%),3 (27%),7 (64%),1 (9%),Active,"St. Louis, United States",The Wolves’ Den Training Center,Freestyle,31,74.50,145.50,"Oct. 18, 2019",78.00,44.00,Featherweight Division,man
Val Woodburn,17 (68%),5 (20%),3 (12%),5 (71%),2 (29%),0 (0%),Active,Jamaica,,Freestyle,30,68.00,169.50,"Jul. 8, 2023",74.00,40.00,Welterweight Division,man
Nathaniel Wood,657 (86%),48 (6%),60 (8%),9 (11%),65 (82%),5 (6%),Active,"London, United Kingdom",,MMA,30,66.00,159.00,"Jun. 1, 2018",69.00,39.00,Featherweight Division,man
Joanne Wood,1046 (79%),224 (17%),59 (4%),5 (29%),11 (65%),1 (6%),Active,"Irvine, United Kingdom","Dinky Ninja Fight Team, Fife Scotland",Muay Thai,38,66.00,125.00,"Dec. 12, 2014",65.50,38.50,Women's Flyweight Division,women
Danyelle Wolf,68 (96%),3 (4%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"York, United States",,Boxer,39,71.50,146.00,"Sep. 10, 2022",70.00,40.00,Women's Featherweight Division,women
Karolina Wojcik,20 (50%),9 (23%),11 (28%),0 (0 %),0 (0 %),0 (0 %),Active,Poland,,,28,,115.50,"Mar. 13, 2024",,,Women's Strawweight Division,women
Westin Wilson,14 (93%),1 (7%),0 (0%),5 (31%),0 (0%),11 (69%),Active,"Orange, United States",,Brazilian Jiu-Jitsu,34,73.00,160.00,"Jul. 1, 2023",73.00,41.00,Featherweight Division,man
Karl Williams,101 (77%),4 (3%),27 (20%),3 (33%),6 (67%),0 (0%),Active,"St. Thomas, United States",,MMA,33,75.00,239.50,"Mar. 11, 2023",79.00,43.50,Heavyweight Division,man
Khaos Williams,373 (90%),25 (6%),17 (4%),7 (54%),5 (38%),1 (8%),Active,"South Bend, United States",,MMA,29,72.00,169.00,"Feb. 8, 2020",77.00,41.00,Welterweight Division,man
Josh Wick,3 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Portland, United States",,,28,,156.00,"Mar. 13, 2024",,,Lightweight Division,man
Robert Whittaker,1172 (87%),93 (7%),88 (7%),10 (40%),10 (40%),5 (20%),Active,"Otahuhu, Australia","PMA, Padstow NSW, Australia",Brazilian Jiu-Jitsu,33,72.00,185.50,"Dec. 16, 2012",73.50,43.00,Middleweight Division,man
Patrik White,46 (82%),9 (16%),1 (2%),0 (0 %),0 (0 %),0 (0 %),Active,"Anchorage, United States",,,30,72.00,155.50,"Mar. 13, 2024",72.00,41.50,Lightweight Division,man
Sheldon Westcott,10 (16%),20 (32%),33 (52%),4 (40%),2 (20%),4 (40%),Active,"Edmonton, Canada","Complete Fitness & Martial Arts - St. Albert, Alberta",,38,73.00,170.00,"Apr. 16, 2014",71.00,41.50,Welterweight Division,man
Jeremiah Wells,64 (50%),5 (4%),60 (47%),5 (42%),3 (25%),4 (33%),Active,"Philadelphia, United States",Daniel Gracie Team,Brazilian Jiu-Jitsu,37,69.00,186.00,"Jun. 26, 2021",74.00,40.00,Welterweight Division,man
Dakota Weigher,,,,,,,Active,,,,33,,,"Mar. 13, 2024",,,,man
Chris Weidman,348 (65%),53 (10%),134 (25%),6 (40%),5 (33%),4 (27%),Active,United States,LAW MMA,,39,74.00,186.00,"Mar. 4, 2011",78.00,42.00,Middleweight Division,man
Michelle Waterson-Gomez,558 (71%),149 (19%),84 (11%),3 (17%),6 (33%),9 (50%),Active,"Colorado Springs, United States",Joel Diaz Boxing,Karate,38,63.00,115.50,"Jul. 12, 2015",62.00,35.50,Women's Strawweight Division,women
Trey Waters,122 (98%),1 (1%),1 (1%),3 (43%),1 (14%),3 (43%),Active,"Jacksonville, United States",,Striker,28,77.00,171.00,"Apr. 29, 2023",77.00,45.00,Welterweight Division,man
Joshua Wang-Kim,37 (97%),1 (3%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"San Diego, United States",,,30,,135.00,"Mar. 13, 2024",,,Bantamweight Division,man
Austin Wall,,,,,,,Active,,,,,,185.00,"Mar. 13, 2024",,,,man
Johnny Walker,260 (69%),37 (10%),78 (21%),16 (76%),2 (10%),3 (14%),Active,"Belford Roxo, Brazil",SBG Ireland,MMA,31,78.00,219.80,"Nov. 17, 2018",82.00,44.50,Light Heavyweight Division,man
Brogan Walker,50 (85%),8 (14%),1 (2%),0 (0%),7 (88%),1 (13%),Active,"Newport Beach, United States",,MMA,33,64.00,126.00,"Aug. 6, 2022",67.00,37.00,Women's Flyweight Division,women
Chase Waldon,2 (100%),0 (0%),0 (0%),3 (27%),3 (27%),5 (45%),Active,"Hudson, United States",,,36,73.00,186.00,"Jul. 25, 2017",75.00,41.00,Middleweight Division,man
Alexander Volkov,883 (80%),146 (13%),73 (7%),24 (67%),9 (25%),3 (8%),Active,"Moscow, Russia",Global Fight Gym,Brazilian Jiu-Jitsu,35,79.00,262.90,"Nov. 19, 2016",80.00,47.50,Heavyweight Division,man
Alexander Volkanovski,1157 (74%),144 (9%),258 (17%),13 (52%),9 (36%),3 (12%),Active,"Shellharbour, Australia",Freestyle Fighting Gym,,35,66.00,144.50,"Oct. 15, 2016",71.50,36.00,Featherweight Division,man
Mateo Vogel,64 (96%),3 (4%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Ottawa, Canada",,,27,,,"Mar. 13, 2024",,,Featherweight Division,man
Cheyanne Vlismas,238 (79%),41 (14%),22 (7%),2 (29%),5 (71%),0 (0%),Active,"St. Petersburg, United States","Xtreme Couture - Las Vegas, NV",MMA,27,63.00,115.50,"Mar. 20, 2021",63.00,36.00,Women's Strawweight Division,women
Rodolfo Vieira,151 (83%),8 (4%),24 (13%),1 (10%),0 (0%),9 (90%),Active,"Rio de Janeiro, Brazil",,Brazilian Jiu-Jitsu,34,72.00,198.00,"Aug. 10, 2019",73.00,39.50,Middleweight Division,man
Ketlen Vieira,393 (76%),91 (18%),30 (6%),2 (15%),7 (54%),4 (31%),Active,"State of Amazonas, Brazil",,Judo,32,68.00,135.00,"Oct. 2, 2016",68.00,39.50,Women's Bantamweight Division,women
Tamires Vidal,73 (95%),4 (5%),0 (0%),1 (14%),4 (57%),2 (29%),Active,"Niterói, Brazil",,Brazilian Jiu-Jitsu,24,66.00,143.00,"Nov. 5, 2022",68.00,38.00,Women's Bantamweight Division,women
Polyana Viana,174 (80%),18 (8%),26 (12%),5 (38%),0 (0%),8 (62%),Active,"State of Pará, Brazil",,Jiu-Jitsu,31,65.00,119.00,"Feb. 4, 2018",67.00,38.50,Women's Strawweight Division,women
Marvin Vettori,982 (85%),78 (7%),96 (8%),2 (11%),7 (39%),9 (50%),Active,"Trento, Italy","Kings MMA - Huntington Beach, CA",MMA,30,72.00,185.50,"Aug. 21, 2016",74.00,41.00,Middleweight Division,man
CJ Vergara,289 (70%),41 (10%),84 (20%),7 (58%),5 (42%),0 (0%),Active,"Laredo, United States",,Freestyle,32,66.00,142.00,"Nov. 6, 2021",68.00,37.00,Flyweight Division,man
Isis Verbeek,27 (57%),20 (43%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,28,,,"Mar. 13, 2024",,,Women's Strawweight Division,women
Marlon Vera,1041 (78%),138 (10%),151 (11%),8 (38%),5 (24%),8 (38%),Active,"Chone, Ecuador",Team 5050 Guayaquil Ecuador,Grappler,31,68.00,135.00,"Nov. 15, 2014",70.50,40.50,Bantamweight Division,man
Greg Velasco,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 13, 2024",,,Heavyweight Division,man
Kelly Velasco,31 (91%),3 (9%),0 (0%),1 (50%),1 (50%),0 (0%),Active,"Santa Clara, United States",,,28,69.00,135.00,"Aug. 29, 2017",,,Women's Bantamweight Division,women
Manny Vazquez,15 (68%),4 (18%),3 (14%),1 (9%),4 (36%),6 (55%),Active,,,,29,70.00,125.80,"Jul. 11, 2017",72.00,39.00,Flyweight Division,man
Lando Vannata,597 (87%),53 (8%),34 (5%),4 (33%),3 (25%),5 (42%),Active,"Neptune City, United States",Joel Diaz Boxing,MMA,31,69.00,156.00,"Jul. 14, 2016",71.00,39.00,Lightweight Division,man
Joshua Van,320 (89%),26 (7%),13 (4%),5 (63%),1 (13%),2 (25%),Active,"Hakha , Myanmar (Burma)",,Freestyle,22,65.00,125.50,"Jun. 24, 2023",65.00,35.00,Flyweight Division,man
Kevin Vallejos,69 (97%),2 (3%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,21,,,"Mar. 13, 2024",,,Featherweight Division,man
Ivan Valenzuela,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Veracruz, Mexico",,,30,,186.00,"Mar. 13, 2024",,,Middleweight Division,man
Genaro Valdez,143 (90%),12 (8%),4 (3%),7 (70%),0 (0%),3 (30%),Active,"Cabo San Lucas, Mexico",,MMA,31,69.00,171.00,"Jan. 22, 2022",72.00,40.50,Lightweight Division,man
Kamaru Usman,787 (57%),236 (17%),347 (25%),9 (45%),10 (50%),1 (5%),Active,"Auchi, Nigeria","Blackzilians - Boca Raton, FL",Freestyle,36,72.00,184.50,"Jul. 12, 2015",76.00,41.00,Middleweight Division,man
Mohammed Usman,94 (90%),4 (4%),6 (6%),4 (40%),4 (40%),2 (20%),Active,"Auchi, Nigeria",,MMA,34,74.00,239.50,"Aug. 6, 2022",79.00,43.00,Heavyweight Division,man
Nick Urso,4 (80%),1 (20%),0 (0%),2 (20%),5 (50%),3 (30%),Active,"Chicago, United States",,,37,66.00,125.30,"Aug. 22, 2017",66.00,,Flyweight Division,man
Gilbert Urbina,58 (52%),22 (20%),32 (29%),2 (29%),3 (43%),2 (29%),Active,United States,,MMA,27,69.00,187.00,"Aug. 28, 2021",75.00,43.00,Welterweight Division,man
Elias Urbina,25 (83%),5 (17%),0 (0%),1 (33%),1 (33%),1 (33%),Active,United States,,,29,0.00,185.80,"Aug. 29, 2017",,,Middleweight Division,man
Carlos Ulberg,296 (86%),22 (6%),27 (8%),6 (60%),2 (20%),2 (20%),Active,"Auckland, New Zealand",City Kickboxing,Kickboxer,32,76.00,204.50,"Mar. 6, 2021",77.00,43.50,Light Heavyweight Division,man
Tagir Ulanbekov,135 (74%),29 (16%),18 (10%),1 (7%),7 (47%),7 (47%),Active,"Dagestan, Russia",Eagles MMA Team,Grappler,32,67.00,126.00,"Oct. 10, 2020",70.00,39.00,Flyweight Division,man
Marcin Tybura,533 (69%),78 (10%),157 (20%),9 (41%),7 (32%),6 (27%),Active,"Uniejow, Poland",Ankos MMA,MMA,38,75.00,246.00,"Apr. 10, 2016",78.00,46.00,Heavyweight Division,man
Austin Tweedy,2 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Indianapolis, United States",,,32,69.00,155.50,"Mar. 13, 2024",68.00,39.00,Lightweight Division,man
Jalin Turner,370 (72%),51 (10%),93 (18%),10 (71%),0 (0%),4 (29%),Active,"Los Angeles, United States",,MMA,28,75.00,156.00,"Oct. 7, 2018",77.00,46.00,Lightweight Division,man
Wellington Turman,237 (76%),51 (16%),24 (8%),4 (22%),6 (33%),8 (44%),Active,"Curitiba, Brazil","Teixeira MMA & Fitness-Bethel, CT",Jiu-Jitsu,27,72.00,171.00,"Jul. 13, 2019",72.00,41.00,Welterweight Division,man
Anton Turkalj,45 (71%),9 (14%),9 (14%),5 (63%),1 (13%),2 (25%),Active,"Gothenburg, Sweden",,MMA,27,76.00,219.00,"Sep. 10, 2022",78.00,43.00,Light Heavyweight Division,man
Ricky Turcios,209 (69%),50 (16%),46 (15%),3 (25%),8 (67%),1 (8%),Active,"Houston, United States",,Freestyle,30,69.00,136.00,"Jul. 11, 2017",71.00,38.50,Bantamweight Division,man
Nyamjargal Tumendemberel,29 (62%),6 (13%),12 (26%),0 (0 %),0 (0 %),0 (0 %),Active,,,,25,,138.90,"Mar. 12, 2024",,,Flyweight Division,man
Marco Tulio,37 (77%),1 (2%),10 (21%),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 13, 2024",,,Middleweight Division,man
Tai Tuivasa,273 (71%),97 (25%),14 (4%),14 (93%),1 (7%),0 (0%),Active,"Kingswood, Australia",Team Tuivasa,,31,74.00,265.60,"Nov. 18, 2017",75.00,39.50,Heavyweight Division,man
Gavin Tucker,247 (80%),49 (16%),13 (4%),4 (31%),3 (23%),6 (46%),Active,"Ship Cove, Canada",Titans MMA,Jiu-Jitsu,37,66.50,156.00,"Feb. 20, 2017",66.00,38.00,Featherweight Division,man
Rei Tsuruya,18 (23%),2 (3%),57 (74%),0 (0 %),0 (0 %),0 (0 %),Active,Japan,,,21,,137.10,"Feb. 3, 2024",,,Flyweight Division,man
Arman Tsarukyan,308 (65%),37 (8%),131 (28%),9 (43%),7 (33%),5 (24%),Active,Georgia,"Syndicate MMA - Las Vegas, NV",Kickboxer,27,67.00,155.50,"Apr. 20, 2019",72.50,39.50,Lightweight Division,man
Manuel Torres,60 (80%),7 (9%),8 (11%),7 (47%),1 (7%),7 (47%),Active,"Chihuahua, Mexico",,MMA,28,70.00,165.70,"May. 14, 2022",73.50,41.00,Lightweight Division,man
Tecia Torres,810 (83%),126 (13%),40 (4%),1 (8%),11 (85%),1 (8%),Active,"Fall River, United States","American Top Team ATT Coconut Creek, FL",Kickboxer,33,61.00,115.50,"Dec. 12, 2014",60.50,35.00,Women's Strawweight Division,women
Ilia Topuria,230 (74%),12 (4%),67 (22%),5 (36%),1 (7%),8 (57%),Active,Germany,,Brazilian Jiu-Jitsu,27,67.00,144.50,"Oct. 10, 2020",69.00,37.00,Featherweight Division,man
Duško Todorović,156 (45%),125 (36%),65 (19%),8 (67%),1 (8%),3 (25%),Active,Serbia,,MMA,29,73.00,186.00,"Aug. 27, 2019",74.00,41.00,Middleweight Division,man
Denis Tiuliulin,118 (82%),20 (14%),6 (4%),9 (90%),1 (10%),0 (0%),Active,"Moscow, Russia",,Striker,35,73.00,185.00,"Mar. 26, 2022",77.00,43.00,Middleweight Division,man
Stephen Thompson,1085 (90%),72 (6%),45 (4%),8 (47%),8 (47%),1 (6%),Active,"Greenville, United States",Upstate Karate Family Martial Arts Center,Karate,41,72.00,171.00,"Feb. 4, 2012",75.00,42.00,Welterweight Division,man
Timothy Thomas,,,,,,,Active,,,,34,,214.00,"Mar. 13, 2024",,,,man
David Teymur,270 (90%),21 (7%),8 (3%),4 (50%),4 (50%),0 (0%),Active,"Järfälla, Sweden",Allstars Training Center,,34,69.00,156.00,"Feb. 27, 2016",73.00,41.00,Lightweight Division,man
Testy Test,,,,,,,Active,,,,,,,"Mar. 13, 2024",,34.00,,man
Taneisha Tennant,77 (91%),2 (2%),6 (7%),0 (0 %),0 (0 %),0 (0 %),Active,United States,,,34,,143.50,"Mar. 13, 2024",,,Women's Featherweight Division,women
Ramon Taveras,79 (95%),1 (1%),3 (4%),5 (50%),2 (20%),3 (30%),Active,"New York, United States",,MMA,30,68.00,139.80,"Jan. 20, 2024",70.00,39.00,Bantamweight Division,man
Brad Tavares,870 (84%),133 (13%),38 (4%),5 (26%),12 (63%),2 (11%),Active,United States,"Xtreme Couture - Las Vegas, NV",MMA,36,73.00,201.00,"Jun. 19, 2010",74.00,43.00,Middleweight Division,man
Miesha Tate,453 (65%),118 (17%),127 (18%),4 (20%),8 (40%),8 (40%),Active,"Tacoma, United States","Xtreme Couture - Las Vegas, NV",Grappler,37,66.00,135.50,"Aug. 19, 2012",65.00,37.50,Women's Bantamweight Division,women
Murtaza Talha,25 (52%),23 (48%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,,"Mar. 13, 2024",,,Light Heavyweight Division,man
Payton Talbott,149 (86%),8 (5%),16 (9%),5 (71%),1 (14%),1 (14%),Active,"Las Vegas, United States",Reno Academy of Combat,,25,70.00,146.00,"Nov. 18, 2023",70.50,40.00,Bantamweight Division,man
Montrel Talbert,,,,,,,Active,,,,30,,,"Mar. 13, 2024",,,,man
Tatsuro Taira,63 (36%),5 (3%),106 (61%),4 (27%),4 (27%),7 (47%),Active,Japan,,,24,67.00,125.50,"Apr. 30, 2022",70.00,38.00,Flyweight Division,man
Justin Tafa,169 (85%),24 (12%),7 (4%),7 (100%),0 (0%),0 (0%),Active,"West Auckland, New Zealand",,Striker,30,72.00,286.00,"Oct. 5, 2019",74.00,40.00,Heavyweight Division,man
Junior Tafa,26 (63%),14 (34%),1 (2%),4 (100%),0 (0%),0 (0%),Active,"Brisbane, Australia",,Kickboxer,26,75.00,256.00,"Feb. 11, 2023",72.00,,Heavyweight Division,man
Kevin Szaflarski,17 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Vienna, Austria",,,28,77.00,,"Mar. 13, 2024",77.50,46.00,Heavyweight Division,man
Kevin Syler,136 (81%),4 (2%),28 (17%),0 (0 %),0 (0 %),0 (0 %),Active,,,,29,69.00,156.00,"Mar. 12, 2024",,,Lightweight Division,man
Oumar Sy,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,,"Mar. 13, 2024",,,Light Heavyweight Division,man
Evan Sweesy,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Cub Swanson,1340 (80%),183 (11%),162 (10%),13 (46%),11 (39%),4 (14%),Active,"Palm Springs, United States",Joel Diaz Boxing,Brazilian Jiu-Jitsu,39,68.00,146.00,"Nov. 12, 2011",70.00,38.00,Featherweight Division,man
Daniel Swain,3 (75%),1 (25%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Spokane, United States",,,32,,145.50,"Mar. 13, 2024",,,Featherweight Division,man
Danilo Suzart,12 (80%),3 (20%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"State of Bahia, Brazil",,,32,,255.00,"Mar. 12, 2024",,,Heavyweight Division,man
Lukasz Sudolski,9 (43%),12 (57%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Szczecin, Poland",,,30,76.00,205.00,"Mar. 12, 2024",75.50,45.00,Light Heavyweight Division,man
Vineesh Subrahmanyan,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Tatiana Suarez,77 (28%),33 (12%),169 (61%),2 (18%),3 (27%),6 (55%),Active,"Bellflower, United States","Millennia MMA - Rancho Cucamonga, CA",MMA,33,65.00,115.50,"Jul. 9, 2016",66.00,39.00,Women's Strawweight Division,women
Sean Strickland,1712 (91%),72 (4%),103 (5%),11 (41%),12 (44%),4 (15%),Active,United States,"Millennia MMA, Rancho, CA",MMA,33,73.00,184.80,"Mar. 15, 2014",76.00,41.50,Middleweight Division,man
Dustin Stoltzfus,200 (83%),22 (9%),18 (8%),2 (13%),7 (47%),6 (40%),Active,"Lancaster, United States",,Muay Thai,32,72.00,185.50,"Nov. 21, 2020",75.00,43.50,Middleweight Division,man
Julija Stoliarenko,181 (90%),15 (7%),6 (3%),0 (0%),1 (9%),10 (91%),Active,Lithuania,Roger Gracie Academy,MMA,30,67.00,139.80,"Aug. 8, 2020",66.00,38.00,Women's Flyweight Division,women
Lazar Stojadinovic,11 (92%),1 (8%),0 (0%),3 (25%),4 (33%),5 (42%),Active,United States,,,34,67.00,145.50,"Jul. 18, 2017",68.00,40.00,Featherweight Division,man
Aljamain Sterling,784 (66%),180 (15%),222 (19%),3 (13%),12 (52%),8 (35%),Active,United States,"Serra-Longo - Long Island, NY",Kickboxer,34,67.00,135.00,"Feb. 22, 2014",71.00,39.00,Featherweight Division,man
Ricky Steele,26 (43%),22 (36%),13 (21%),0 (0 %),0 (0 %),0 (0 %),Active,"Indio, United States",,,35,,136.00,"Mar. 13, 2024",,,Bantamweight Division,man
Cody Stamann,539 (77%),89 (13%),76 (11%),6 (32%),11 (58%),2 (11%),Active,"Grand Rapids, United States","Xtreme Couture - Las Vegas, NV",Freestyle,33,66.50,139.00,"Jul. 8, 2017",64.50,35.00,Bantamweight Division,man
Daniel Spohn,25 (57%),11 (25%),8 (18%),7 (44%),5 (31%),4 (25%),Active,United States,"Ronin Training Center Columbus, OH",,38,76.00,206.00,"Jul. 18, 2017",78.00,,Light Heavyweight Division,man
Serghei Spivac,158 (50%),14 (4%),143 (45%),7 (47%),2 (13%),6 (40%),Active,Moldova,Polar Bear Team,Sambo,28,75.00,258.50,"May. 4, 2019",78.00,44.00,Heavyweight Division,man
Ryan Spann,172 (72%),19 (8%),48 (20%),6 (29%),3 (14%),12 (57%),Active,"Memphis, United States",Fortis MMA,MMA,32,77.00,222.00,"Jul. 25, 2017",79.00,45.50,Light Heavyweight Division,man
Willian Souza,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,36,,146.00,"Mar. 12, 2024",,,Bantamweight Division,man
Ketlen Souza,0 (0 %),0 (0 %),0 (0 %),8 (62%),4 (31%),1 (8%),Active,"Manaus, Brazil",,Boxing,28,63.00,124.50,"Jun. 3, 2023",63.00,35.00,Women's Flyweight Division,women
Mario Sousa,46 (57%),10 (12%),25 (31%),0 (0 %),0 (0 %),0 (0 %),Active,"Santa Luzia, Brazil",,,26,75.00,185.50,"Mar. 12, 2024",79.50,45.00,Middleweight Division,man
Punahele Soriano,232 (77%),22 (7%),47 (16%),6 (67%),1 (11%),2 (22%),Active,United States,"Xtreme Couture - Las Vegas, NV",MMA,31,71.00,185.50,"Sep. 7, 2019",72.50,41.00,Middleweight Division,man
Emrah Sonmez,12 (55%),2 (9%),8 (36%),0 (0 %),0 (0 %),0 (0 %),Active,Turkey,,,30,,,"Mar. 13, 2024",,,Featherweight Division,man
Song Yadong,683 (84%),54 (7%),77 (9%),9 (43%),9 (43%),3 (14%),Active,"Heilongjiang, China",Team Alpha Male,Boxer,26,68.00,136.00,"Nov. 25, 2017",67.00,38.00,Bantamweight Division,man
Joe Solecki,98 (56%),12 (7%),65 (37%),1 (8%),3 (25%),8 (67%),Active,"Wenonah, United States",,Grappler,30,69.00,155.00,"Dec. 7, 2019",70.50,39.00,Lightweight Division,man
Alexander Soldatkin,4 (33%),7 (58%),1 (8%),0 (0 %),0 (0 %),0 (0 %),Active,,,,30,,,"Mar. 13, 2024",,,Heavyweight Division,man
Devin Smyth,1 (3%),31 (79%),7 (18%),0 (0 %),0 (0 %),0 (0 %),Active,"Lansing, United States",,,27,,171.00,"Mar. 13, 2024",,,Welterweight Division,man
Cameron Smotherman,4 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Houston, United States",,,25,,,"Mar. 13, 2024",,,Bantamweight Division,man
Anthony Smith,675 (86%),66 (8%),41 (5%),19 (51%),4 (11%),14 (38%),Active,"Corpus Christi, United States","Mick Doyle's Kickboxing - Omaha, NE",Freestyle,35,76.00,211.00,"Aug. 19, 2012",76.00,44.00,Light Heavyweight Division,man
Mitchell Sipe,46 (85%),5 (9%),3 (6%),0 (0 %),0 (0 %),0 (0 %),Active,"Bakersfield, United States",,,27,74.00,255.00,"Mar. 13, 2024",,,Heavyweight Division,man
